@WordPOS	Ag,Bg,Dg,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
建材计	j:1,
建构	v:8,vn:6,
建树	v:9,n:33,vn:22,
建校	v:27,vn:9,
建校费	n:1,
建档	v:5,vn:3,
建档立卡	l:4,
建棚	n:1,
建模	v:1,vn:2,
建武	nz:1,
建民	nr:1,
建湖	ns:3,
建湖县	ns:6,
建湖县委	nt:1,
建湖县近湖镇党委	nt:1,
建瓯市	ns:1,
建生	nr:1,
建研会	j:4,
建祠尸祝	l:1,
建立	v:4256,vn:162,
建章	j:1,
建章立制	l:21,
建筑	v:33,a:1,n:579,vn:259,
建筑业	n:41,
建筑五金二厂党支部	nt:1,
建筑体	n:2,
建筑史	n:6,
建筑商	n:1,
建筑学	n:7,
建筑学家	n:5,
建筑学术	n:1,
建筑学系	n:1,
建筑家	n:3,
建筑师	n:29,
建筑材料工业部	nt:1,
建筑法	n:11,
建筑物	n:113,
建筑用	b:1,
建筑界	n:9,
建筑系	n:2,
建筑编	n:1,
建筑署	n:2,
建筑群	n:28,
建筑队	n:5,
建管	vn:5,
建管委	j:1,
建管局	j:4,
建管用	l:1,
建纬	nz:1,
建纬律师事务所	nt:1,
建纬所	nt:1,
建网	v:6,
建荣	nr:1,
建莲	n:2,
建行	j:110,
建行上海市分行	nt:9,
建行上海市分行房贷部	nt:1,
建行北京分行朝阳支行	nt:1,
建行北京市分行	nt:6,
建行北京方庄城建支行	nt:1,
建行厦门市分行	nt:5,
建行厦门市分行个人住房信贷服务中心	nt:2,
建行安康分行	nt:1,
建行安康扶贫组	nt:1,
建行广东省分行	nt:1,
建行延安分行	nt:1,
建行徐州市分行营业部	nt:1,
建行总行	nt:2,
建行总行扶贫组	nt:1,
建行株洲市分行	nt:1,
建行河北省唐山市分行	nt:1,
建行湘潭市雨湖支行国药城储蓄所	nt:1,
建行长宁区支行	nt:1,
建行长春市分行	nt:2,
建行陕西省分行	nt:1,
建言	v:2,nr:1,vn:1,
建言献策	l:19,
建言献计	l:1,
建警	v:1,
建议	v:544,n:998,vn:94,
建议书	n:12,
建议价	n:4,
建议案	n:7,
建设	v:2420,n:49,vd:1,nz:1,vn:9185,
建设乡	ns:1,
建设厅	nt:1,n:2,
建设史	n:13,
建设司	n:3,
建设处	n:1,
建设局	n:2,
建设性	v:1,b:64,n:178,
建设方	n:5,
建设期	t:1,n:1,
建设权	n:2,
建设村	ns:1,
建设省	nt:1,
建设科	n:1,
建设者	n:72,
建设费	n:13,
建设部	nt:97,n:3,
建设部信息中心	nt:1,
建设部小康办公室	nt:1,
建设部建筑标准研究所	nt:1,
建设部建设环境工程技术中心	nt:1,
建设部政策研究中心	nt:1,
建设部科技信息研究所	nt:1,
建设部科技司	nt:1,
建设部长	n:1,
建设银行上海市分行	nt:1,
建设银行北京市分行	nt:3,
建设银行广州市分行	nt:1,
建设银行徐州市分行	nt:2,
建设银行总行	nt:6,
建设银行总行国际业务部	nt:1,
建设银行株洲市分行	nt:1,
建设银行河北省唐山分行	nt:1,
建设银行河北省唐山市分行	nt:1,
建设银行河北邢台分行	nt:1,
建设银行河北香河县支行	nt:1,
建设银行深圳分行	nt:1,
建设银行石家庄铁路办事处	nt:1,
建设银行陕西省分行	nt:1,
建设集团股份公司	nt:1,
建账	v:14,vn:7,
建账率	n:1,
建起	v:37,
建路	v:2,
建达	nr:5,
建通	nz:2,
建通公司	nt:1,
建造	v:149,vn:23,
建造业	n:1,
建造界	n:1,
建部	v:2,
建都	v:2,vn:2,
建阳市	ns:1,
建陶	nz:6,
建陶厂	n:1,
建（构）筑物	j:1,
廿	m:1,
廿七	m:2,
廿三	m:5,
廿九	m:2,
廿五	m:2,
廿八	m:1,
廿六	m:2,
廿四	m:2,
开	v:1865,q:11,Ng:1,j:2,
开不开张	v:1,
开业	v:128,vn:25,
开交	v:1,
开价	v:10,vn:3,
开会	v:153,vn:5,
开倒车	v:1,
开停机	j:1,
开元	nz:42,
开元区	ns:6,
开元区人民法院	nt:1,
开关	v:1,n:31,
开关厂	n:7,
开关柜	n:2,
开关站	n:2,
开具	v:24,
开出	vn:1,
开凿	v:13,
开刀	v:16,
开列	v:5,
开创	v:272,n:1,vn:3,
开创建设	v:1,
开创性	b:1,n:13,
开创者	n:5,
开初	t:1,n:1,
开办	v:261,vn:4,
开办费	n:1,
开动	v:17,
开化	a:1,
开化县	ns:3,
开化县政府	nt:1,
开单	v:1,
开卷	v:3,
开原	ns:3,
开原交警三中队	nt:2,
开原市	ns:2,
开县	ns:12,
开县教育局	nt:1,
开县汉丰镇大林村党支部	nt:1,
开发	v:1624,vn:1884,
开发业	n:4,
开发人	n:1,
开发办	j:8,
开发区	n:256,
开发区热	n:1,
开发史	n:1,
开发商	n:45,
开发型	n:8,
开发局	n:1,
开发带	n:1,
开发式	b:18,
开发性	n:16,
开发扶贫式	b:1,
开发方	n:1,
开发权	n:3,
开发法	n:1,
开发热	n:4,
开发署	n:3,
开发者	n:9,
开发行	n:1,j:4,
开发计划署	n:16,
开发费	n:4,
开发部	n:10,
开口	v:33,
开口子	v:1,
开口杯	n:1,
开台	vn:1,
开后门	l:1,
开启	v:39,vn:3,
开味品	n:1,
开和	v:1,
开唱	v:1,
开国	b:42,vn:4,
开国史	n:2,
开场	v:42,vn:6,
开场白	n:8,
开垦	v:44,vn:6,
开垦费	n:2,
开外	f:1,u:9,
开天辟地	i:7,
开头	v:12,n:31,
开始	v:3405,t:1,n:1,vn:65,
开学	v:46,vn:34,
开宗明义	i:2,
开宣	nr:1,
开导	v:14,vn:1,
开封	ns:19,
开封五中	nt:1,
开封农发行	nt:1,
开封医学高等专科学校附属淮河医院	nt:1,
开封县	ns:8,
开封县委	nt:1,
开封市	ns:23,
开封市中级人民法院	nt:2,
开封市中级人民法院技术鉴定中心	nt:1,
开封市劳教所	nt:1,
开封市新华书店	nt:7,
开封市鼓楼区国税局相国寺税务所	nt:1,
开封消防支队	nt:1,
开小差	v:3,
开小灶	l:2,
开局	v:34,n:27,vn:3,
开屏	v:5,
开展	v:2912,vn:153,
开山	v:10,vn:2,
开工	v:171,vn:49,
开工率	n:2,
开工量	n:1,
开市	v:3,
开幕	v:396,n:1,vn:17,
开幕会	n:11,
开幕式	n:215,
开幕词	n:12,
开幕辞	n:2,
开平市	ns:1,
开平市水口镇红花管理区党支部	nt:1,
开庭	v:51,vn:4,
开开	v:4,nz:3,
开开实业股份有限公司	nt:2,
开开心	v:1,
开式	b:4,
开张	v:41,vn:1,
开征	v:17,
开心	v:1,an:1,a:41,
开快车	v:3,
开怀	v:2,d:3,an:1,
开怀大笑	l:2,
开战	v:31,
开户	v:23,vn:30,
开户者	n:2,
开户行	n:3,
开户费	n:3,
开房率	n:2,
开拍	v:21,
开拓	v:753,vd:1,vn:73,
开拓力	n:1,
开拓型	b:2,
开拓性	n:13,
开拓者	n:33,
开拓者队	nt:2,
开拓进取	l:112,
开拔	v:2,
开挖	v:19,vn:13,
开挖量	n:1,
开掘	v:20,vn:12,
开播	v:9,
开支	v:26,n:217,vn:51,
开放	v:1946,an:3,a:75,ad:1,vn:588,
开放办	j:1,
开放区	n:1,
开放型	b:18,
开放度	n:2,
开放式	b:14,n:5,
开放性	n:21,
开放日	n:2,
开斋	v:1,
开斋节	t:28,
开方	v:7,
开明	ns:1,a:9,nz:4,
开明书店	nt:1,ns:1,
开明出版社	nt:1,
开明音像出版社	nt:1,
开春	v:1,t:20,
开普勒	nr:1,
开普敦	ns:9,
开普敦高级法院	nt:2,
开普顿	ns:1,
开曼	ns:3,
开曼群岛	ns:3,
开朗	a:11,
开本	n:5,
开机	v:24,vn:2,
开杆	v:3,vn:1,
开村	vn:2,
开来	v:7,nr:5,nz:1,
开来律师事务所	nt:1,
开枪	v:35,vn:1,
开枰	v:1,
开架	v:8,vn:17,
开标	v:1,vn:1,
开栏	v:1,n:1,
开气	n:1,
开水	n:22,
开水壶	n:1,
开水桶	n:1,
开渠	v:2,
开源	v:10,vn:1,
开源节流	i:16,
开溜	v:1,
开滦	ns:25,
开滦唐山矿	nt:2,
开滦煤矿	nt:2,
开滦矿务局	nt:1,
开滦矿务局唐家庄矿	nt:1,
开演	v:1,
开火	v:3,
开炮	v:2,
开玩笑	v:24,
开班	v:8,vn:2,
开班式	n:6,
开球	v:1,vn:1,
开白	nz:9,
开白砖厂	nt:8,
开盘	v:44,vn:2,
开盘价	n:9,
开眼	v:2,
开矿	v:3,
开磅	v:1,
开票	v:13,vn:1,
开禁	v:3,
开福区	ns:1,
开福区望麓园地区社区服务中心	nt:1,
开窍	v:1,a:2,
开窍宁心	l:1,
开窗	v:1,
开立	v:21,vn:1,
开端	v:1,n:64,
开箱	v:5,
开箱费	n:1,
开篇	n:15,
开绿灯	v:5,
开罗	ns:238,
开罗国际机场	ns:1,
开罗大学	nt:1,
开罗市	ns:1,
开罗机场	ns:3,
开罗解放广场	ns:1,
开罗金字塔医院	nt:1,
开罗阿盟大街	ns:1,
开罪	v:1,
开考	v:2,vn:1,
开肠破肚	l:1,
开脱	v:10,
开腔	v:1,
开腹	v:2,vn:1,
开膛	v:1,
开航	v:3,
开花	v:38,
开花期	t:2,
开花结果	i:10,
开荒	v:20,vn:3,
开行	v:44,vn:3,
开裂	v:8,vn:2,
开裆裤	n:3,
开解	v:2,
开讲	v:1,
开设	v:293,vn:7,
开评	v:1,
开诊	v:4,vn:2,
开诚布公	i:5,
开诚相见	i:1,
开课	v:10,
开赛	v:83,
开走	v:3,
开赴	v:21,
开起	v:1,
开足马力	l:2,
开路	v:8,vn:1,
开路先锋	n:5,
开路神	nz:1,
开车	v:70,vn:2,
开辟	v:431,vn:10,
开达	nz:2,
开进	v:34,
开通	v:201,a:1,an:1,vn:12,
开道	v:16,
开采	v:92,vn:68,
开采业	n:3,
开采权	n:1,
开销	v:2,n:8,vn:1,
开锅	v:1,
开错	v:1,
开锣	v:1,
开镜	v:2,
开门	v:62,vd:3,
开门红	l:9,
开门见喜	l:1,
开门见山	i:14,
开间	n:5,
开闸	v:4,vn:2,
开阔	v:76,an:1,a:59,vn:3,
开阔地	n:3,
开阳	ns:1,
开除	v:76,vn:4,
开颅	vn:1,
开题	v:1,
开饭	v:3,vn:3,
开馆	v:28,vn:12,
开鲁县	ns:1,
开鲁县道德乡道德村党支部	nt:1,
异	Ag:41,Vg:1,
异义	b:1,
异乎寻常	i:4,
异乡	n:11,
异乡人	n:1,
异亮氨酸	n:1,
异位症	n:1,
异体	n:2,
异党	n:1,
异军突起	i:34,
异化	v:4,vn:8,
异化期	n:1,
异口同声	i:23,
异同	n:3,
异味	n:4,
异国	n:37,
异国他乡	l:12,i:1,
异地	n:48,
异型	b:4,
异型坯	n:2,
异域	n:14,
异姓	b:1,
异客	n:3,
异己	n:4,
异常	d:58,b:1,an:6,a:84,
异形字	n:1,
异彩	n:19,
异彩纷呈	l:17,
异志	n:2,
异性	n:5,
异想天开	i:5,
异戊橡胶	n:1,
异教	n:1,
异教徒	n:2,
异族	n:7,
异曲同工	i:5,
异样	a:1,n:6,
异步	v:1,b:5,
异物	n:9,
异物感	n:2,
异相	n:1,
异种	n:1,
异端	n:3,
异类	n:1,
异见	n:2,
异议	v:1,n:43,
异质	b:1,n:1,
异质性	n:3,
异轨	a:1,
异邦	n:3,
异香	n:1,
弃	Vg:41,
弃世	v:1,
弃之不用	l:1,
弃之如敝屣	l:1,
弃儿	n:4,
弃农	v:2,
弃婴	n:17,
弃市	v:1,
弃旧图新	i:1,
弃权	v:25,
弃权票	n:4,
弃械投降	l:1,
弃渔	v:1,
弃物	n:1,
弃糟取精	l:2,
弃置	v:1,
弃耕	v:1,vn:1,
弄	v:170,vn:1,
弄假	v:1,
弄口	n:1,
弄堂	n:10,
弄巧成拙	i:1,
弄弄坪	ns:2,
弄权	v:2,
弄棍舞刀	i:1,
弄清	v:47,
弄潮	v:1,
弄潮儿	n:9,
弄相村	ns:1,
弄臣	n:1,
弄虚作假	i:100,
弄虚作假者	n:3,
弈	Vg:4,
弈友	j:1,
弈和	v:1,
弈棋	v:2,
弊	Ng:19,
弊害	n:1,
弊政	n:1,
弊病	n:20,
弊端	n:127,
弋	Ng:1,
弋取	v:1,
弋阳	ns:2,
式	Ng:6,k:117,
式式	n:1,
式微	v:3,vn:1,
式样	n:12,
式调	n:1,
弑	Vg:1,
弓	v:4,n:5,
弓子	n:2,
弓弦	n:1,
弓弩	n:2,
弓形体	n:1,
弓箭	n:3,
弓继权	nr:1,
弓腰	n:1,
引	v:242,Ng:1,
引人入胜	i:20,
引人关注	l:1,
引人注意	l:5,
引人注目	i:132,
引人深思	i:2,
引人瞩目	i:8,
引介	v:2,vn:1,
引以	v:2,
引以为戒	i:11,
引以为耻辱	l:1,
引以为自豪	l:3,
引以为荣	l:4,
引以为鉴	l:2,i:1,
引以为骄傲	l:1,
引以自豪	l:12,
引体	n:1,
引信	n:5,
引入	v:127,vn:1,
引出	v:35,
引力	n:28,
引力场	n:3,
引力波	n:1,
引力能	n:3,
引动	v:1,
引发	v:291,
引古逸书	nz:1,
引号	n:2,
引向	v:3,
引吭高歌	i:7,
引咎辞职	l:13,
引子	n:2,
引导	v:651,n:1,vn:159,
引导员	n:1,
引导性	n:1,
引导灯	n:1,
引导牌	n:2,
引得	v:9,n:3,
引擎	n:3,
引擎盖	n:1,
引文	n:2,
引智	vn:1,
引来	v:59,
引桥	n:4,
引水	v:30,vn:28,
引水人	n:4,
引水渠	n:4,
引水道	n:1,
引水量	n:1,
引河桥	n:2,
引洪	v:1,vn:1,
引渡	v:25,vn:12,
引滦入津	l:1,
引滦入津工程	nz:1,
引潜	j:1,
引火烧身	i:2,
引燃	v:3,
引爆	v:7,
引用	v:53,vn:1,
引申	v:3,
引种	v:12,vn:2,
引线	n:1,
引经据典	i:1,
引而不发	i:1,
引聘	v:1,
引致	v:1,
引航	v:2,vn:1,
引航人	n:2,
引航道	n:5,
引荐	v:2,vn:2,
引蛇出洞	l:1,
引见	v:1,
引论	n:1,
引证	v:5,
引诱	v:19,vn:4,
引资	v:16,n:1,j:1,vn:10,
引资国	n:2,
引起	v:1242,
引路	v:18,vn:1,
引路人	n:1,
引进	v:646,vn:78,
引进者	n:1,
引述	v:14,
引退	v:1,
引逗	v:1,
引领	v:1,
引风机	n:1,
引黄	j:5,
引黄入晋	l:1,
引黄工程	nz:1,
引黄灌区	l:1,
弗	Dg:1,
弗·尼·巴丘卡耶夫	nr:1,
弗·阿尔塞	nr:1,
弗·麦科特	nr:1,
弗伦西娅	nr:1,
弗兰克	nr:2,
弗兰克·卡恩	nr:1,
弗兰克·奥班农	nr:1,
弗兰克·斯瓦伦	nr:5,
弗兰克尔	nr:1,
弗兰克林	nr:1,
弗兰切斯卡	nr:1,
弗兰切斯科·德尔菲诺	nr:1,
弗兰西斯·培根	nr:2,
弗兰西斯卡	nr:1,
弗利德利逊	nr:1,
弗利德里希·博尔	nr:1,
弗劳恩霍费尔	nz:1,
弗勒德	nr:1,
弗吉尼亚	ns:3,
弗吉尼亚伍顿高中	nt:1,
弗吉尼亚州	ns:10,
弗如	d:1,
弗德斯	nz:1,
弗拉内舍维奇	nr:2,
弗拉基米尔·尼古拉耶维奇·洛博夫	nr:1,
弗拉基米尔·斯博亚	nr:1,
弗拉季米尔·萨姆索诺夫	nr:1,
弗拉尼奥·图季曼	nr:1,
弗拉尼茨基	nr:1,
弗拉德科夫	nr:4,
弗拉明戈	nz:1,
弗拉索夫	nr:1,
弗拉维奥	nr:1,
弗拉维奥·科蒂	nr:1,
弗拉诺瓦茨	nr:1,
弗拉门戈	nz:1,
弗拉门戈足球俱乐部	nt:1,
弗斯特·温南	nr:1,
弗朗克·马勒	nr:1,
弗朗切斯科·弗朗兰利	nr:1,
弗朗斯·阿尔贝·勒内	nr:1,
弗朗斯潘塞	nr:1,
弗朗索瓦·菲荣	nr:1,
弗朗茨	nr:3,
弗朗西娜	nr:2,
弗朗西斯	nr:3,
弗朗西斯·培根	nr:1,
弗朗西斯科	nr:1,
弗朗西斯科·泰雷加	nr:1,
弗林	nr:1,
弗洛	nr:2,
弗洛伊德	nr:3,
弗洛勒斯岛	ns:2,
弗洛尔	nr:1,
弗纶	a:1,
弗罗兰德	nr:1,
弗罗拉	ns:4,
弗罗拉人	n:1,
弗罗拉市	ns:2,
弗罗林	q:3,
弗罗阿	ns:1,nr:1,
弗罗阿登	ns:1,
弗舍尔	nr:1,
弗莱堡	nz:1,
弗蒂斯	nz:4,
弗蒂斯财团	nt:3,
弗里德里希斯哈根	ns:1,
弗里德里希斯菲尔德	ns:1,
弗里敦	ns:37,
弗里敦半岛	ns:1,
弗里敦国际机场	ns:1,
弗里敦市	ns:2,
弗里曼特尔港	ns:1,
弗里格	nr:1,
弗雷	nr:10,
弗雷娅	nr:1,
弗雷德·伯格斯滕	nr:1,
弗雷德里克·史密斯	nr:1,
弗雷德里克斯	nr:1,
弗雷拉	nr:2,
弗雷泽	nr:2,
弗雷谢特	nr:2,
弘一	nr:1,
弘仁	nr:1,
弘光	n:1,
弘扬	v:320,nr:1,vn:2,
弘法	v:1,
弛	Vg:3,
弟	n:17,
弟兄	n:11,
弟妹	n:6,
弟媳	n:6,
弟子	n:33,
弟弟	n:107,
张	nt:1,v:23,nr:158,r:2,q:2588,Ng:2,j:2,
张一元	nr:3,
张一元公司	nt:1,
张一元茶店	nt:1,
张一羽	nr:1,
张丁华	nr:21,
张万义	nr:9,
张万友	nr:2,
张万叶	nr:1,
张万学	nr:1,
张万富	nr:1,
张万年	nr:89,
张万年迟浩田	nr:5,
张万庆	nr:1,
张万欣	nr:2,
张万金	nr:1,
张三	nr:3,
张三丰	nr:1,
张三慧	nr:1,
张三李四	i:1,
张三莉	nr:1,
张三营镇	ns:1,
张丕民	nr:2,
张世伟	nr:1,
张世尧	nr:1,
张世德	nr:1,
张世民	nr:1,
张世琨	nr:1,
张世端	nr:5,
张世简	nr:1,
张世良黄宝铮	nr:1,
张世英	nr:3,
张世诚	nr:1,
张世霖	nr:1,
张丙涛	nr:1,
张丙涛曹书平	nr:1,
张业忠	nr:1,
张东	nr:1,
张东升	nr:1,
张东文	nr:3,
张东波	nr:14,
张东生	nr:2,
张东盛	nr:1,
张东祥	nr:2,
张严	nr:21,
张严张书泽	nr:1,
张严张春林	nr:1,
张严李林	nr:1,
张中伟	nr:5,
张中华	nr:1,
张中孝	nr:1,
张中杰董湘臣	nr:1,
张中行	nr:3,
张丰毅	nr:1,
张临杭	nr:1,
张丽	nr:2,
张丽华	nr:1,
张丽文	nr:1,
张丽玲	nr:1,
张举	nr:1,
张举生	nr:1,
张久成	nr:1,
张义山	nr:1,
张义林	nr:1,
张义潜	nr:1,
张之洞	nr:2,
张之路	nr:3,
张乐岭	nr:1,
张乐平	nr:10,
张乐文	nr:1,
张九慈	nr:1,
张九桓	nr:1,
张九祥	nr:1,
张也	nr:2,
张书吻	nr:2,
张书政	nr:20,
张书政于洪全	nr:1,
张书政宇新桑余	nr:1,
张书政秉广向军	nr:1,
张书政雪莲	nr:1,
张书斌	nr:1,
张书泽	nr:9,
张书泽丁波	nr:1,
张乾二	nr:1,
张二小	nr:1,
张二廷	nr:4,
张二辰	nr:4,
张二震	nr:1,
张云	nr:2,
张云丽	nr:1,
张云川	nr:2,
张云枫	nr:1,
张云波	nr:13,
张云龙	nr:1,
张亚军蒯春雷	nr:1,
张亦农	nr:4,
张京	nr:2,
张京刚	nr:1,
张京津	nr:3,
张京陈辉	nr:1,
张亮	nr:16,
张亮友	nr:1,
张人为	nr:1,
张仁俊	nr:1,
张仁忠	nr:1,
张仃	nr:8,
张今	nr:3,
张今强	nr:1,
张今标	nr:1,
张仓吉	nr:37,
张付华	nr:1,
张以祥	nr:2,
张仲景	nr:3,
张仲礼	nr:2,
张任芳	nr:2,
张伊宁	nr:1,
张会善	nr:4,
张会强	nr:1,
张伟	nr:2,
张伟基	nr:26,
张伟智	nr:1,
张伟烈	nr:1,
张伟良	nr:2,
张伟超	nr:2,
张传宣	nr:2,
张传斌	nr:1,
张传玺	nr:1,
张伯伦	nr:2,
张伯海	nr:1,
张伯苓	nr:2,
张伯达	nr:1,
张伯里	nr:1,
张伯驹	nr:5,
张佐良	nr:19,
张佑才	nr:1,
张体义	nr:1,
张体福	nr:1,
张何平	nr:1,
张作哈	nr:1,
张作玺	nr:12,
张作锦	nr:2,
张作霖	nr:1,
张佩俐	nr:2,
张佩华	nr:1,
张佩银刘汉功	nr:1,
张佩霞	nr:1,
张佳利	nr:1,
张俊	nr:1,
张俊九	nr:1,
张俊以	nr:7,
张俊先	nr:6,
张俊兰	nr:1,
张俊卿	nr:1,
张俊存	nr:1,
张俊成	nr:1,
张俊林	nr:1,
张俐娜	nr:1,
张保华	nr:1,
张保善	nr:1,
张保庆	nr:8,
张保振	nr:1,
张信哲	nr:6,
张修客	nr:1,
张倩	nr:4,
张健	nr:4,
张健民	nr:5,
张儒	nr:1,
张儿	q:2,
张允	nr:1,
张允海	nr:1,
张元	nr:1,
张元方	nr:1,
张元铸	nr:2,
张元龙	nr:1,
张兆东	nr:2,
张兆东牛荣健	nr:1,
张先国	nr:2,
张先村	ns:1,
张先翱	nr:1,
张光年	nr:2,
张光斗	nr:5,
张光明	nr:1,
张光玉	nr:1,
张光金	nr:1,
张克	nr:1,
张克侠	nr:1,
张克俭	nr:1,
张克智	nr:1,
张克禄	nr:1,
张克芳于力	nr:1,
张克辉	nr:37,
张全景	nr:41,
张全胜	nr:2,
张公瑾	nr:1,
张兰生	nr:4,
张兴	nr:5,
张兴华	nr:2,
张兴旺	nr:1,
张兴旺青年突击队	nt:1,
张兴武	nr:1,
张其军	nr:1,
张冀鲁	nr:1,
张再宏	nr:1,
张军	nr:22,
张军博	nr:1,
张军城	nr:1,
张军江	nr:2,
张军生	nr:1,
张军雄	nr:3,
张军雄刘德敏	nr:1,
张农科	nr:2,
张冠李戴	i:3,
张冠金章	nr:1,
张冬梅	nr:1,
张冬科	nr:1,
张冰	nr:2,
张冲	nr:2,
张况运	nr:1,
张凤云	nr:1,
张凤娥	nr:1,
张凤祥	nr:1,
张凯	nr:3,
张凯臣	nr:1,
张刚	nr:2,
张利	nr:1,
张利军	nr:1,
张利明	nr:3,
张利明诸韵颖	nr:1,
张利藩	nr:2,
张别古	nr:1,
张前江	nr:1,
张剑	nr:4,
张剑杨二	nr:1,
张剑红	nr:1,
张剑飞	nr:1,
张力	n:16,
张功平	nr:2,
张加平曹蔚	nr:1,
张劲夫	nr:8,
张劲松	nr:6,
张勃兴	nr:1,
张勇	nr:26,
张勇军	nr:4,
张勇手	nr:1,
张勋贤	nr:1,
张化	nr:1,
张北	ns:66,
张北县	ns:61,
张北县交通局	nt:1,
张北县人民武装部	nt:1,
张北县刑警大队	nt:1,
张北县医院	nt:2,
张北县单晶河邮电支局	nt:2,
张北县委	nt:1,
张北县巡警大队	nt:1,
张北县收获机械厂	nt:1,
张北县邮电局	nt:2,
张北县重建家园指挥部	nt:1,
张北地区	ns:1,
张北平	nr:1,
张北镇	ns:1,
张北镇派出所	nt:1,
张千一	nr:2,
张午	ns:1,
张午乡	ns:1,
张华	nr:9,
张华安	nr:2,
张华康	nr:2,
张华明	nr:1,
张华民	nr:1,
张华祝	nr:2,
张华金	nr:1,
张协旺	nr:1,
张卓元	nr:7,
张单驼	ns:1,
张博	nr:2,
张占林	nr:1,
张占涛	nr:1,
张卫	nr:1,
张卫东	nr:2,
张卫刚	nr:1,
张卫平	nr:3,
张卫平孟宪励	nr:1,
张卫明	nr:1,
张厅	ns:1,
张厚安	nr:6,
张厚粲	nr:1,
张厚载	nr:1,
张又侠	nr:1,
张友会	nr:1,
张友余	nr:1,
张友国	nr:2,
张友山	nr:1,
张友新	nr:5,
张友松汪建勋	nr:1,
张友生	nr:3,
张友隽	nr:1,
张友香	nr:3,
张双成	nr:1,
张双战	nr:1,
张发奎	nr:1,
张发强	nr:15,
张发强张圣坤	nr:1,
张叔英	nr:1,
张口	v:9,
张口即来	l:1,
张古	ns:1,
张可	nr:1,
张可喜	nr:12,
张吉威	nr:1,
张吉龙	nr:17,
张同吾	nr:3,
张同盟	nr:4,
张同良孙雪梅	nr:1,
张同道	nr:1,
张同钰	nr:1,
张后奇	nr:2,
张向东	nr:10,
张向东胡键	nr:1,
张向东苑德军	nr:2,
张向东贾晋涛	nr:1,
张向东郭鹏	nr:1,
张向瑾	nr:4,
张君瑞	nr:1,
张君秋	nr:36,
张君龙	nr:1,
张启彬	nr:2,
张启楣	nr:1,
张吾乐	nr:4,
张和	nr:1,
张和平	nr:9,
张品华	nr:2,
张品成	nr:1,
张善子	nr:1,
张善菊	nr:1,
张喜云	nr:2,
张喜兰	nr:4,
张喜武	nr:2,
张喜翠	nr:2,
张嘎	nr:1,
张嘴	v:8,
张国	nr:1,
张国中	nr:1,
张国义	nr:1,
张国伟	nr:9,
张国俊	nr:6,
张国光	nr:17,
张国凤	nr:8,
张国初	nr:2,
张国勇	nr:1,
张国华	nr:15,
张国基	nr:1,
张国安	nr:2,
张国宝	nr:1,
张国平	nr:1,
张国忠	nr:3,
张国成	nr:8,
张国擎	nr:1,
张国文	nr:1,
张国斌	nr:1,
张国松	nr:1,
张国栋	nr:1,
张国民	nr:1,
张国焘	nr:10,
张国祚	nr:1,
张国祥	nr:5,
张国荣	nr:1,
张国辉	nr:2,
张圣坤	nr:2,
张在华	nr:1,
张均法	nr:1,
张均田	nr:1,
张坤	nr:1,
张坤平	nr:2,
张培光	nr:1,
张培勤	nr:1,
张基尧	nr:2,
张基美	nr:1,
张塞	nr:1,
张增军	nr:3,
张增敏	nr:1,
张墨	nr:1,
张士儒	nr:3,
张士卿	nr:1,
张士平	nr:1,
张士满	nr:1,
张士诚	nr:1,
张士辉	nr:1,
张复良	nr:1,
张夏孔繁欣	nr:1,
张夏镇	ns:1,
张大	v:1,
张大农	nr:3,
张大千	nr:13,
张大和	nr:2,
张大复	nr:4,
张大宁	nr:1,
张大庄	ns:1,
张大庄乡政府	nt:1,
张大成	nr:5,
张大春	nr:1,
张大维	nr:1,
张天保	nr:1,
张天翼	nr:2,
张天雄	nr:2,
张天飞	nr:1,
张太亭	nr:3,
张太恒	nr:1,
张太恒张永珍	nr:1,
张太江	nr:1,
张太雷	nr:91,
张太雷研究会	nt:1,
张夷非	nr:1,
张奇志	nr:1,
张奎	nr:2,
张奚若	nr:1,
张好生	nr:1,
张如亮	nr:2,
张娟	nr:1,
张婕	nr:1,
张媛贞	nr:1,
张子勇	nr:1,
张子善	nr:3,
张子鹏	nr:1,
张存浩	nr:2,
张孝华	nr:2,
张孝文	nr:4,
张孝永	nr:1,
张孝骞	nr:1,
张学东	nr:1,
张学东陆百甫	nr:1,
张学义	nr:1,
张学仁王良	nr:1,
张学会	nr:1,
张学全	nr:1,
张学军	nr:1,
张学凯	nr:1,
张学友	nr:1,
张学如	nr:1,
张学峰	nr:6,
张学志	nr:1,
张学思	nr:6,
张学恒张庆常	nr:1,
张学文	nr:1,
张学文温和	nr:1,
张学斌徐秦生	nr:1,
张学明	nr:2,
张学津	nr:3,
张学甫	nr:1,
张学福	nr:1,
张学秋	nr:1,
张学群	nr:1,
张学良	nr:76,
张学铭	nr:1,
张宁	nr:6,
张宁斌	nr:1,
张宅乡	ns:2,
张宇	nr:4,
张宇鸿梁魁元	nr:1,
张守义	nr:3,
张守仁	nr:1,
张守信	nr:1,
张守波	nr:1,
张守真	nr:1,
张安南	nr:1,
张安居	nr:1,
张安惠	nr:6,
张安栋	nr:1,
张安生	nr:2,
张安顺	nr:1,
张宏	nr:1,
张宏亮	nr:1,
