@WordPOS	Ag,Bg,Dg,FREQTWO,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
禅	nr:2,Ng:3,
禅和子	nr:1,
禅寺	n:3,
禅意	n:1,
禅房	n:1,
禅院	n:1,
禅隐	vn:2,
禅静	n:1,
福	nr:13,j:4,n:57,
福东	nr:1,
福中	nr:1,
福临	nr:4,nz:1,
福义	nr:2,
福乾	nr:2,
福云	nr:1,
福井县	ns:3,
福享	nr:1,
福今	nr:4,
福优７７杂交稻	nz:1,
福会	nr:1,
福佑	vn:1,
福元	nr:2,
福克斯	nr:1,
福全镇	ns:1,
福兴	nr:1,nz:1,
福兴寺	ns:1,
福冈	ns:2,
福冈市	ns:1,
福分	n:5,
福利	nr:2,n:253,
福利业	n:2,
福利会	n:7,
福利制	n:1,
福利型	b:3,n:2,
福利性	n:6,
福利楼	n:1,
福利法	n:1,
福利部	n:2,
福利院	n:42,
福前	nr:1,
福勇	nr:1,
福华路	ns:1,
福占	nr:1,
福印	nr:9,
福友	nr:2,
福同	nr:1,
福周	nr:3,
福和	nr:3,
福善	nr:1,
福图纳托·阿瓦特	nr:1,
福地	nz:2,n:2,
福坎	nr:1,
福坑口村	ns:1,
福坦莫	nz:1,
福堂	nr:4,
福塔莱萨	ns:3,
福塞	nr:1,
福塞特	nr:7,ns:1,
福奎	nr:3,
福如东海	i:1,
福学	nr:1,
福安	s:1,nr:1,ns:1,nz:1,
福安市	ns:2,
福宝	nr:2,nz:1,
福家	nr:6,
福寿	nr:1,nz:1,n:1,
福寿仙	nz:15,
福将	n:1,
福尔加奇	nr:1,
福尔格	nr:1,
福尔马林液	n:1,
福尼特	nz:2,
福居	ns:1,
福山	nr:1,
福山区	ns:1,
福山路	ns:1,
福州	ns:252,
福州人	n:2,
福州市	ns:79,
福州市人	n:1,
福州籍	n:1,
福州路	ns:1,
福庇子孙	l:1,
福庵	nr:1,
福康	nr:4,
福建	ns:351,
福建人	n:1,
福建厅	n:1,
福建团	n:1,
福建省	ns:187,
福建籍	n:2,
福弟	nr:2,
福德	nr:5,nz:7,
福志	nr:1,
福恩	nr:1,
福恩特斯	nr:1,
福成	nr:9,
福才	nr:2,
福斯勒波斯	ns:1,
福斯塔夫	nr:1,
福斯特	nr:1,
福昌	nr:4,
福明	nr:6,
福星	nr:1,
福春	nr:7,
福景	nr:5,
福曾	nr:1,
福朝	nr:1,
福村	nr:5,
福来	nr:1,
福来纳	nz:2,
福杰	nr:3,
福林	q:1,nr:8,n:1,
福柏	nr:6,
福格茨	nr:9,
福森	nr:3,
福民	nr:5,
福气	a:1,n:18,
福永	nr:1,
福泉	ns:1,
福泰	nr:1,
福泽	nr:1,
福洪	nr:1,
福洲	nr:1,
福海	nr:1,ns:1,
福海县	ns:1,
福清	ns:7,
福清人	n:2,
福清市	ns:2,
福清话	nz:1,
福渊	nr:59,
福源	nr:4,
福满	nr:2,
福炜	nr:1,
福熙	nr:1,
福特	nr:3,nz:48,
福特宝	nz:2,
福特纳	nr:1,
福特车	n:1,
福王	nr:1,
福珍	nr:1,
福珠	nr:1,
福琳	nr:1,
福琼	nr:1,
福瑞	nr:12,
福生	nr:12,
福田	nr:3,ns:5,nz:5,
福田乡	ns:1,
福田区	ns:1,
福田杯	nz:1,n:2,
福田牌	nz:1,
福田赳夫	nr:1,
福盈门	nz:1,
福祉	n:6,
福祥	nr:6,
福祸	n:1,
福禄	nr:1,
福禄克	nz:2,
福秀	nr:1,
福章	nr:1,
福纯	nr:4,
福纳	nz:1,
福绥境	ns:1,
福胜	nr:1,
福荣	nr:2,
福荫	v:1,n:3,
福莱西宝	nz:1,
福诺斯	nr:1,
福贵	nr:1,
福费庭	j:2,
福辉	nr:5,
福达	nz:1,
福远	nr:1,
福重	nr:2,
福银	nr:1,
福门	nz:1,
福雨	nr:5,
福雷卡里亚	ns:1,
福音	nz:1,n:14,
福音教	nz:1,
福饴	nr:1,
福香	nr:1,
福鼎大毫	nz:1,
福鼎市	ns:4,
福龄	nr:1,
福龙	nz:1,
禹	nr:8,
禹州	ns:3,
禹州市	ns:10,
禹日	n:1,
禹浪	nr:1,
禹贤	nr:2,
禹锡	nr:1,
禹鹏	nr:2,
禺	nr:8,
离	p:93,v:452,vn:1,
离不了	v:1,
离不开	v:26,
离业	v:1,
离业者	n:1,
离业补偿费	n:1,
离乡	v:5,
离乡背井	i:3,
离乱	a:2,
离京	v:6,
离人	n:1,
离任	v:28,vn:14,
离任者	n:1,
离休	v:32,vn:43,
离休金	n:2,
离别	v:13,vn:1,
离到任	j:4,
离去	v:55,vn:1,
离合悲欢	l:1,
离场	v:1,
离境	v:2,
离奇	a:6,an:1,
离婚	v:26,vn:7,
离婚率	n:1,
离子	n:9,
离子化	v:1,
离子束	n:1,
离子水	n:2,
离子流	n:1,
离家	v:25,
离家背井	l:1,
离宾	nr:1,
离岗	v:8,vn:3,n:1,
离岸	vn:5,
离岸价	n:1,
离开	v:584,vn:1,
离开馆	v:1,
离异	v:5,vn:4,
离心	b:7,v:1,
离心力	n:5,
离心式	b:1,
离心法	n:1,
离心离德	i:1,
离愁别绪	l:1,
离散	b:2,v:5,vn:8,
离柳	ns:1,
离校	v:1,
离石	ns:2,
离石市	ns:4,
离索	n:1,
离经叛道	i:1,
离群索居	i:3,
离职	v:13,
离职金	n:2,
离谱	a:7,
离谱儿	a:2,
离退休	v:23,vn:73,
离退休费	n:1,
离退休金	j:1,n:4,
离间	v:3,vn:1,
离间计	n:1,
离队	v:3,vn:1,
离骚	nz:4,n:2,
禽	Ng:23,
禽业	n:2,
禽产品	n:2,
禽兽	n:3,
禽流感	n:20,
禽流感Ｈ５	nz:2,
禽流感Ｈ５Ｎ１	n:2,
禽畜	n:1,
禽畜产品	n:1,
禽类	n:4,
禽肉	n:4,
禽蛋	n:19,
禽鸟	n:2,
禽鸭	n:1,
禾	nr:1,Ng:2,
禾丰	nr:2,
禾嘉	nz:4,
禾家村	ns:1,
禾山乡	ns:1,
禾本科	n:1,
禾秆	n:1,
禾苗	n:2,
秀	nr:7,Ag:14,
秀丽	a:43,nr:1,
秀云	nr:35,
秀仪	nr:2,
秀全	nr:3,
秀兰	nr:18,
秀刚	nr:1,
秀勤	nr:5,
秀华	nr:9,
秀发	n:3,
秀君	nr:5,
秀士澄牌	nz:1,
秀士登牌	nz:1,
秀壮	nr:2,
秀夫	nr:5,
秀奇	nr:7,
秀女	n:1,
秀娜	nr:1,
秀娟	nr:9,
秀娥	nr:24,
秀宽	nr:1,
秀山	nr:6,ns:2,
秀屿镇	ns:2,
秀岩	nr:1,
秀峰	nr:2,
秀平	nr:1,
秀庭	nr:3,
秀恒	nr:1,
秀成	nr:1,
秀才	n:10,
秀敏	nr:3,
秀文	nr:2,
秀斌	nr:3,
秀新	nr:1,
秀明	nr:2,
秀晨	nr:2,
秀智	nr:1,
秀朴	a:1,
秀杰	nr:1,
秀松	nr:1,
秀林	nr:4,
秀梅	nr:16,
秀梵	nr:1,
秀棠	nr:1,
秀武	nr:1,
秀民	nr:2,
秀气	a:3,
秀水	n:2,
秀水坪村	ns:2,
秀水村	ns:1,
秀水河子	ns:1,
秀水街	ns:3,
秀海	nr:2,
秀清	nr:22,
秀潭	nr:1,
秀玲	nr:3,
秀珊	nr:1,
秀珍	nr:8,
秀琴	nr:4,
秀璈	nr:1,
秀生	nr:2,
秀田	nr:1,
秀秀	nr:1,
秀穗	vn:1,
秀红	nr:1,
秀美	a:52,nr:1,
秀色	n:4,
秀艳	nr:1,
秀芝	nr:4,
秀芬	nr:6,
秀花	nr:1,
秀芳	nr:3,
秀英	nr:22,
秀荣	nr:7,
秀莲	nr:18,
秀菁	nr:1,
秀菊	nr:2,
秀萍	nr:5,
秀蓉	nr:2,
秀诗	nr:6,
秀财	nr:4,
秀雅	a:1,
秀雯	nr:3,
秀霞	nr:4,
秀青	nr:1,
秀骥	nr:3,
秀麟	nr:7,
私	b:15,ad:5,d:1,Ag:52,Ng:5,
私下	d:36,
私了	v:3,
私事	n:11,
私交	n:3,
私产	n:1,
私人	n:213,
私人占有制	n:1,
私企	j:5,n:1,
私住	v:1,
私分	v:10,
私利	n:62,
私刻	v:4,
私化	vn:1,
私协	j:1,
私商	n:28,
私囊	n:2,
私塾	n:6,
私奔	v:2,
私存	v:2,
私宅	n:1,
私定	v:1,
私家	b:4,n:1,
私家车	n:4,
私密性	n:1,
私小	j:1,
私己	r:1,
私开滥挖	l:1,
私心	n:13,
私心杂念	l:5,
私念	n:2,
私情	n:2,
私房	n:7,
私房钱	n:5,
私拿	v:1,
私挖滥采	l:1,
私摘	v:1,
私改	j:1,
私有	v:8,vn:21,
私有制	n:20,
私有化	v:11,vn:19,
私有权	n:1,
私有者	n:1,
私枪	n:1,
私欲	n:12,
私泄	v:1,
私淑	v:1,
私生子	n:2,
私用	b:2,v:3,
私盐	n:1,
私盐案	n:2,
私盖	v:1,
私立	b:32,
私章	n:1,
私自	d:45,
私营	b:534,n:2,
私营业者	n:1,
私营化	v:1,vn:2,
私营者	n:1,
私藏	v:2,vn:1,
私设	v:4,
私访	v:1,
私语	v:2,vn:1,
私语化	vn:1,
私财	n:1,
私货	n:3,
私费	n:1,
私车	n:4,
私车族	n:1,
私邸	n:1,
秃	a:4,
秃岭	n:3,
秃杉	n:1,
秆	Ng:2,
秆儿	n:1,
秉	Vg:2,
秉中	nr:1,
秉义	nr:4,
秉仁	nr:1,
秉借	v:1,
秉公	d:18,
秉公为政	l:1,
秉公执法	i:3,l:11,
秉国	nr:51,
秉堂	nr:1,
秉堃	nr:1,
秉宜	nr:1,
秉广	nr:2,
秉建	nr:2,
秉德	nr:6,
秉忱	nr:1,
秉性	n:7,
秉承	v:5,
秉持	v:1,
秉文	nr:1,
秉明	nr:23,
秉杰	nr:1,
秉松	nr:1,
秉桥	nr:1,
秉毅	nr:4,
秉炎	nr:3,
秉烛夜读	i:1,
秉礼	nr:1,
秉笔	v:2,
秉笔直书	i:3,
秉维	nr:2,
秉臣	nr:1,
秉藤	nr:1,
秉衡	nr:4,
秉贤	nr:1,
秉贵	nr:6,
秉赋	v:1,
秉钧	nr:2,
秉锐	nr:5,
秉顺	nr:2,
秋	Tg:130,nr:8,Ng:8,
秋兵	nr:17,
秋农	nr:1,
秋冬季	t:1,
秋冬种	v:1,
秋凉	t:1,
秋初	t:1,
秋利	nr:1,
秋千	n:5,
秋华	nr:2,
秋口	ns:1,
秋叶	n:2,
秋叶原	ns:1,
秋吉台	ns:1,
秋后	t:6,
秋后算账	i:2,
秋君	nr:1,
秋夜	t:1,
秋天	t:99,
秋娥	nr:1,
秋季	t:41,
秋实	nr:2,
秋山	nr:3,
秋山昌广	nr:1,
秋山生哉	nr:1,
秋平	nr:8,
秋庄稼	n:1,
秋彬	nr:2,
秋怡	nr:1,
秋意	n:1,
秋成	nr:2,
秋播	v:2,
秋收	v:5,vn:2,nz:1,n:4,
秋收起义	nz:2,
秋日	t:7,
秋旱	n:1,
秋月	nr:1,
秋末	t:2,
秋来	nr:4,
秋林	nz:6,
秋梅	nr:3,
秋梧	nr:1,
秋歌	nr:2,
秋毫无犯	i:1,
秋水	n:2,
秋水共长天一色	l:2,
秋水长天	n:1,
秋泉	nr:1,
秋波	n:1,
秋燕	nr:1,
秋玲	nr:1,
秋生	nr:10,
秋田	nr:3,
秋田县	ns:2,
秋白	nr:4,
秋社	nr:1,
秋祥	nr:1,
秋种	v:5,
秋粮	n:5,
秋翻	vn:1,
秋色	n:6,
秋艳	nz:1,
秋艳牌	nz:1,
秋芳	nr:2,
秋英	nr:2,
秋荔亭	ns:1,
秋荣	nr:1,
秋菊	nr:2,n:2,
秋萍	nr:6,
秋谷	nr:1,
秋里	nr:7,
秋野	n:1,
秋阳	nr:2,n:2,
秋雨	nr:2,n:4,
秋雨庵	n:1,
秋霞	nr:7,
秋韵	n:3,
秋风	n:13,
秋风过耳	i:1,
秋香	nr:3,
秋高气爽	i:2,
种	q:4326,r:1,v:525,vn:1,Ng:45,m:3,
种业	n:4,
种兔	n:1,
种兔场	n:1,
种养	v:15,vn:14,
种养业	j:12,n:4,
种养加	j:10,
种养殖	vn:1,
种养殖业	j:1,
种在	v:1,
种地	v:34,vn:4,
种姓	n:1,
种子	n:318,
种子公司	n:7,
种子核	n:1,
种子田	n:3,
种子站	n:7,
种子粮	n:4,
种子袋	n:1,
种子赛	n:4,
种子选手	n:15,
种子队	n:6,
种崽	n:1,
种数	n:2,
种族	n:103,
种族主义	n:15,
种族歧视	l:15,
种林	vn:1,
种果	v:8,vn:5,
种树	v:4,
种棉	v:10,vn:5,
种棉节	t:1,
种植	v:291,vn:260,
种植业	n:66,
种植业史	n:1,
种植区	n:5,
种植史	n:2,
种植园	n:12,
种植园主	n:4,
种植圃	n:1,
种植户	n:4,
种植热	n:1,
种法	n:2,
种源	n:2,
种牛	n:3,
种牛场	n:3,
种猪	n:9,
种猪场	n:2,
种田	v:57,vn:11,
种畜	n:6,
种畜场	n:3,
种禽	n:4,
种禽站	n:1,
种种	q:383,v:2,
种站	n:1,
种管	vn:1,
种类	n:83,
种粮	v:22,vn:21,
种粮区	n:1,
种粮食	n:1,
种羊	n:2,
种羊场	n:4,
种群	n:26,
种花	v:5,
种苗	n:16,
种草	v:10,vn:1,
种菇	vn:6,
种菜	v:45,vn:13,
种菜地	n:1,
种蛋	n:3,
种蝎	n:1,
种蝎场	n:1,
种衣剂	n:1,
种质	n:18,
种质型	n:1,
种质库（圃）	j:1,
种闯田	l:1,
种鸟	n:2,
种鸡	n:11,
种鸡场	n:3,
种鸽	n:4,
种鸽场	n:2,
种龟	n:3,
科	nr:9,Ng:1,j:46,n:77,
科举	n:3,
科任	j:1,
科企	j:1,
科伦坡	ns:9,
科佳	ns:1,
科俊	nr:1,
科先思	nz:1,
科克	nr:46,
科克被	p:1,
科兴	nz:3,
科内里森	nr:3,
科利华	nz:6,
科利姆	nr:5,
科利马	ns:1,nz:3,
科力斯	nz:1,
科勒	nr:1,
科化	nz:1,
科协	j:88,
科协组	n:2,
科南·克拉莫	nr:1,
科员	n:15,
科坚科夫	nr:1,
科坛	n:3,
科埃略	nr:2,
科城	j:1,
科大	j:5,
科大维	nr:1,
科头乡	ns:1,
科委	j:156,
科威特	ns:93,
科威特人	n:5,
科威特国	ns:2,
科威特城	ns:2,
科威特塔	n:1,
科威特市	ns:1,
科学	a:771,ad:166,nr:1,an:1,n:1619,
科学主义	n:5,
科学会	n:2,
科学化	a:1,v:39,vn:45,an:1,
科学史	n:7,
科学司	n:1,
科学园	n:7,
科学型	n:1,
科学城	n:2,
科学奖	n:13,
科学学	n:2,
科学学系	n:1,
科学家	n:511,
科学性	n:73,
科学技术	n:618,
科学报	n:3,
科学楼	n:1,
科学热	n:1,
科学界	n:23,
科学研究部	n:1,
科学系	n:4,
科学部	n:6,
科学院	n:469,
科宝	nz:1,
科室	n:50,
科尔	nr:83,
科尔多凡	ns:1,
科尔尼夫	nr:2,
科尔尼永	nr:1,
科尔斯	nr:1,
科尔曼	nr:1,
科尔沁	ns:3,
科尔沃	nr:9,
科尔索	nr:3,
科尔维	nr:1,
科局级	b:1,
科工委	j:37,
科工贸	j:7,
科巴	ns:1,nz:8,
科巴县	ns:1,
科布伦茨市	ns:1,
科布多省	ns:1,
科帕卡巴纳	ns:1,
科干局	j:1,
科幻	b:4,j:5,n:2,
科幻片	n:1,
科幻画	n:1,
科库	nr:1,
科德奇	nr:2,
科恩	nr:75,
科恰班巴	ns:1,
科恰班巴省	ns:2,
科恰良	nr:13,
科托努	ns:5,
科托尔湾	ns:1,
科扬	nr:12,
科技	vn:1,j:1,n:4957,
科技书	n:3,
科技亭	n:1,
科技先导型	n:2,
科技兴农	l:29,
科技力	n:1,
科技化	v:2,vn:1,
科技史	n:6,
科技司	n:5,
科技园	n:8,
科技园区	n:10,
科技型	b:5,n:3,
科技处	n:7,
科技委	j:2,n:1,
科技局	n:6,
科技户	n:1,
科技报	n:5,
科技教育界	n:1,
科技潮	n:3,
科技点	n:1,
科技版	n:4,
科技界	n:89,
科技站	n:1,
科技类	n:6,
科技组	n:4,
科技编	n:1,
科技节	n:7,
科技观	n:2,
科技角	n:1,
科技部	nt:6,n:25,
科技链	n:2,
科技馆	n:34,
科拉奇	nr:1,
科拉沃莱	nr:1,
科援	nr:7,
科摩罗	ns:6,
科教	j:242,
科教企	j:2,
科教兴农	l:33,
科教兴国	l:231,
科教兴市	l:1,
科教兴林	l:3,
科教处	n:2,
科教文	j:2,
科教文卫	j:5,
科教文卫体	j:8,
科教片	n:5,
科文	nr:5,
科文斯	nz:1,
科斯	nr:1,
科斯坚科	nr:2,
科斯塔迪诺夫	nr:1,
科斯戈洛	nz:1,
科斯托夫	nr:1,
科斯特洛	nr:3,
科方	n:1,
科明区	ns:1,
科星	n:1,
科普	b:188,
科普克	nr:1,
科普性	n:1,
科普捷夫	nr:1,
科普栏	n:2,
科普特人	nz:4,n:2,
科普特教区	ns:1,
科普站	n:1,
科普类	n:1,
科普网	n:1,
科普部	n:4,
科曼	nr:4,
科林·卢卡斯	nr:1,
科林巴	nr:1,
科林斯	nr:2,
科格拉焦里	ns:1,
科梅塔号	nz:1,
科森察	nz:1,
科森察省	ns:1,
科沙拉村	ns:2,
科泽尔	nr:5,
科洛科娃	nr:1,
科洛迪	nr:5,
科海	n:4,
科爱华	nr:1,
科特·马祖尔	nr:1,
科特迪瓦	ns:88,
科班	n:4,
科班出身	l:2,
科瓦尔	nr:2,
科瓦舍维奇	nr:1,
科瓦茨	nr:1,
科留奇科娃	nr:1,
科目	n:35,
科盲	n:2,
科研	vn:1,j:4,n:1090,
科研型	n:3,
科研处	n:1,
科研所	j:21,n:2,
科研推广型	n:1,
科研楼	n:2,
科研组	n:3,
科研部	n:6,
科研院	n:1,
科社	j:1,
科科申	nr:10,
科管	j:1,
科索沃	ns:564,
科索沃共和国	ns:4,
科索沃省	ns:5,
科级	b:19,
科纳克里	ns:15,
科纳雷	nr:1,
科罗切尼亚	nr:1,
科罗拉多	ns:2,
科罗拉多河	ns:4,
科罗特切尼亚	nr:1,
科罗马	nr:9,
科考	j:9,
科考队	j:5,
科艺楼	j:1,
科苏特	nr:1,
科苑	nz:1,
科菲·安南	nr:14,
科菲尔德	nr:1,
科萨诺维奇	nr:3,
科萨诺维奇·米罗拉德	nr:1,
科蒂	nr:9,
科蒂斯	nr:1,
科西嘉	ns:15,
科计	j:1,
科试	vn:1,
科诺克	nz:1,
科达	nr:6,nz:4,
科连特斯	ns:1,
科迪杯	nz:1,
科钦	ns:1,
科长	n:128,
科闻	nr:3,
科队	n:1,
科隆	ns:6,
科雷	nr:18,
科雷亚	ns:1,
科雷切亚	nr:1,
科雷姆	ns:1,
科雷拉	nr:1,
科雷查恩	nr:1,
科雷特加	nr:1,
科马杜古加纳	ns:1,
科龙	nz:139,
秒	q:383,n:2,
秒表	n:1,
秒钟	q:4,n:1,
秘	nr:1,Ng:4,j:9,
秘不示人	l:1,
秘书	n:206,
秘书处	n:54,
秘书官	n:1,
秘书局	n:1,
秘书科	n:3,
秘书级	b:2,
秘书组	n:4,
秘书长	n:1005,
秘书长库	n:1,
秘史	n:1,
秘密	a:61,ad:35,an:1,n:57,
秘技	n:1,
秘方	n:3,
秘旨	n:1,
秘本	n:1,
秘而不宣	i:1,
秘藏	v:1,
秘诀	n:19,
秘谱	n:1,
秘闻	n:1,
秘鲁	ns:78,
秘鲁人	n:1,
秘鲁共和国	ns:3,
秘鲁海	ns:1,
秘鲁队	nt:5,
租	Vg:1,v:120,Ng:10,
租下	v:9,
租价	n:2,
租佃制	n:2,
租借	v:13,vn:3,
租借地	n:1,
租卖亭	n:1,
租售	vn:2,
租售房	j:2,
租售比价	j:1,
租售率	n:9,
租子	n:1,
租建	v:1,
租户	n:4,
租房	v:4,
租期	t:3,n:1,
租用	v:43,
租用者	n:1,
租界	n:3,
租种	v:2,
租约	n:1,
租者	n:3,
租费	n:2,
租赁	v:79,vn:67,vd:1,
租赁业	n:3,
租赁制	n:1,
租赁处	n:1,
租赁方	n:3,
租赁期	n:2,
租赁本	n:1,
租赁权	n:1,
租赁站	n:2,
租赁者	n:1,
租赁费	n:1,
租赁金	n:1,
租车费	n:1,
租金	n:64,
秣马厉兵	i:1,
秤	n:31,
秤杆	n:3,
秤盘	n:1,
秤砣	n:2,
秦	Tg:12,nr:241,j:7,
秦中	ns:1,
秦代	t:4,
秦俑	nz:1,n:14,
秦俑头	n:1,
秦俑学	n:2,
秦军	nr:1,
秦南镇	ns:1,
秦国	ns:1,
秦地	ns:1,
秦坊村	ns:1,
秦堤	ns:1,
秦始皇	nr:20,
秦始皇帝	n:1,
秦始皇陵	ns:2,
秦宫	n:1,
秦家沟	ns:1,
秦山	ns:22,
秦岭	ns:29,
秦川	ns:8,nz:1,
秦川牛	n:1,
秦州	ns:1,
秦巴	ns:5,
秦时	t:1,
秦朝	t:4,
秦栏	ns:1,
秦树乡	ns:1,
秦汉	t:5,j:5,
秦汉唐	j:1,
秦淮	ns:1,
秦淮河	ns:4,
秦港	j:1,
秦牛	nz:1,
秦王	nr:2,n:3,
秦王峡	ns:1,
秦生	nr:1,
秦皇	nr:1,n:2,
秦皇岛	ns:60,
秦皇岛人	n:1,
秦皇岛市	ns:28,
秦皇岛港	ns:4,
秦腔	n:5,
秦腔戏	n:1,
秦都	ns:1,
秦都区	ns:2,
秦陵	ns:4,n:1,
秦陵编	n:1,
秦风	n:5,
秦风槐韵	l:1,
秦麟	nr:1,
秦齐郡	ns:1,
秦（皇岛）	ns:3,
秧	Vg:2,nr:1,v:1,Ng:7,n:2,
秧歌	n:31,
秧歌赛	n:1,
秧歌队	n:8,
秧田	n:1,
秧盘	n:1,
秧苗	n:21,
秩	Ng:2,
秩序	n:659,
秩序井然	i:19,
秩序性	n:1,
秭归	ns:25,
秭归人	n:3,
秭归城	ns:1,
积	v:116,vn:1,
积习	n:4,
积乾	nr:1,
积仁	nr:1,
积余	vn:1,
积冰	n:1,
积分	n:64,
积分榜	n:52,
积分表	n:2,
积劳成疾	i:6,
积压	v:50,vn:31,
积压品	n:2,
积压货	n:1,
积墨	vn:1,
积存	v:10,vn:2,
积存数	n:1,
积安	nr:2,
积年	d:1,
积康	nr:6,
积弊	n:3,
积弱	v:1,
积弱积贫	l:3,
积怨	n:4,
积成	nr:1,
积攒	v:19,
积斌	nr:13,
积木	n:6,
积极	a:1406,ad:2281,d:8,v:1,vn:2,an:3,
积极分子	l:31,
积极向上	l:14,
积极性	n:579,
积案	n:4,
积水	v:1,vn:1,n:13,
积水场	n:3,
积水潭	ns:3,
积淀	v:16,vn:23,
积温	n:3,
积温区	n:1,
积灰	n:1,
积炭	n:1,
积病	n:1,
积石	n:1,
积石山	ns:3,
积累	v:260,vn:90,n:50,
积累工	n:10,
积累性	n:2,
积聚	v:14,vn:1,
积肥	v:1,
积蓄	v:21,vn:1,n:46,
积蓄量	n:2,
积蕴	v:1,
积贫积弱	l:1,
积资	v:1,
积超	nr:1,
积重难返	i:5,
积金	n:1,
积雨云团	n:1,
积雪	n:41,
积食不化	l:1,
称	v:744,vn:32,Ng:37,n:1,
称为	v:387,
称之为	v:98,
称作	v:44,
称做	v:3,
称兄道弟	l:2,
称号	n:361,
称呼	v:8,vn:1,n:8,
称多县	ns:1,
称得上	v:23,
称心	a:8,
称心如意	i:2,
称快	v:2,
称意	a:1,
称法	n:1,
称王	v:1,
称王称霸	i:7,
称称	v:3,
称羡	v:4,
称职	a:61,v:1,
称职者	n:4,
称著	v:1,
称誉	v:5,vn:1,
称谓	v:2,vn:2,n:13,
称谢	v:2,
称赞	v:161,vn:41,vd:1,
称赞声	n:1,
称道	v:48,vn:6,
称量	v:1,
称雄	v:14,
称霸	v:16,vn:1,
称颂	v:16,
秸子	n:1,
秸秆	n:82,
秸秆量	n:1,
移	v:139,
移交	v:60,vn:21,
移位	v:2,vn:2,
移动	v:52,vn:261,
移动局	n:4,
移动式	b:2,
移动网	n:1,
移动靶	n:3,
移居	v:22,vn:1,
移山填海	i:2,
移师	v:4,
移栽	v:4,vn:2,
移植	v:39,vn:46,vd:1,
移植术	n:1,
移步	v:13,
移民	v:26,vn:83,n:151,
移民区	n:4,
移民局	n:5,
移民局长	n:2,
移民署	n:1,
移泊	v:1,
移花接木	i:7,
移送	v:57,vn:3,
移风易俗	i:14,
秽乱	v:1,
秽语	n:1,
稀	a:25,Ng:2,
稀世	b:12,
稀土	n:14,
稀奇	a:5,
稀奇古怪	i:1,
稀客	n:1,
稀少	a:36,
稀巴烂	a:1,
稀有	a:16,
稀有元素	l:2,
稀有金属	l:1,n:2,
稀松	a:1,
稀树	ns:4,
稀疏	a:7,
稀稀拉拉	z:4,
稀稀拉拉的	z:1,
稀稀落落	z:3,
稀缺	a:20,
稀缺性	n:3,
稀罕	a:7,v:3,an:1,
稀罕物	n:1,
稀落	a:2,
稀薄	a:1,
稀见本	n:1,
稀释	v:5,vn:4,
稀释型	n:2,
稀释液	n:1,
稀里糊涂	z:2,
稀饭	n:4,
稃皮	n:1,
程	q:8,nr:337,Ng:2,n:3,
程家峪村	ns:1,
程序	n:449,
程序化	v:6,vn:2,
程序性	n:27,
程序模块	n:1,
程序法	n:7,
程度	n:1006,
程度者	n:1,
程式	n:8,
程式化	v:1,vn:2,
程德	nr:1,
程控	b:67,n:2,
程控化	v:3,vn:2,
程控机	n:3,
程林庄	ns:1,
程林街	ns:1,
程某	nr:1,
程海乡	ns:2,
程潮	nz:1,
程程	nr:6,
程远	nr:11,
程途	n:1,
稍	d:159,
稍为	d:3,
稍事	d:2,
稍事停留	l:1,
稍候	v:3,
稍加	d:5,
稍后	d:6,f:2,
稍微	d:16,
稍有不慎	l:6,
稍稍	d:10,
稍纵即逝	i:1,
稍许	d:6,
稍逊风骚	l:1,
税	nr:1,n:297,
税企	j:1,
税利	n:26,
税制	n:59,
税前	t:2,
税务	n:339,
税务员	n:10,
税务局	n:43,
税务所	n:6,
税务所长	n:2,
税名	n:1,
税后	t:2,
税基	j:1,n:8,
税官	n:5,
税容	n:1,
税性	n:1,
税收	vn:2,n:741,
税收收入	n:39,
税收率	n:1,
税收额	n:3,
税政	j:1,n:1,
税服	n:1,
税案	n:3,
税款	n:117,
税法	n:51,
税源	n:34,
税率	n:44,
税盲	n:1,
税票	n:4,
税种	n:35,
税稽	j:3,
税纪	n:3,
税者	n:2,
税警	n:3,
税负	vn:1,j:9,
税贸	j:1,
税费	j:1,n:71,
税费卡	n:1,
税赋	n:5,
税金	n:39,
税银	j:1,
税项	n:1,
税额	n:7,
税风	n:3,
稔	Vg:1,
稔子	n:1,
稔熟	a:3,
稔藤	nz:1,
稗	Ng:1,
稗子	n:2,
稚嫩	a:29,an:1,
稚子	n:2,
稚拙	a:4,
稚晖	nr:3,
稚柳	nr:1,
稚气	a:3,n:2,
稚气可掬	l:1,
稚气未脱	l:5,
稚珊	nr:1,
稚童	n:3,
稠	a:5,
稠密	a:15,
稠油	n:3,
稠油田	n:1,
稳	a:119,ad:33,v:29,vn:1,an:3,
稳中有升	l:14,
稳中有增	l:2,
稳中有进	l:3,
稳中有降	l:3,
稳中求进	l:61,
稳中转好	l:1,
稳产	b:15,v:2,vn:3,j:2,n:9,
稳产田	n:2,
稳住	v:35,vn:1,
稳健	a:42,ad:17,v:1,an:3,
稳健派	n:1,
稳压	vn:1,
稳压器	n:1,
稳固	a:32,ad:1,v:6,
稳坐钓鱼台	l:1,
稳如泰山	i:2,
稳妥	a:118,ad:13,an:1,
稳定	a:1251,ad:162,v:543,vn:151,an:1117,vd:3,
稳定化	vn:3,
